Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
49,45-48,60-69,492,3,138,0,16,335,5.8,25.2
49,45-48,70-79,902,6,168,1,18,709,15.0,67.2
49,45-48,80+,1502,12,200,6,35,1249,46.6,157.3
50,46-49,Under 18,4,0,3,0,0,1,0.4,0.0
50,46-49,18-29,13,0,9,0,1,3,0.1,0.3
50,46-49,30-39,46,0,37,0,1,8,0.1,1.3
50,46-49,40-49,104,3,51,0,4,46,0.7,3.0
50,46-49,50-59,243,5,108,1,8,121,1.7,10.5
50,46-49,60-69,457,4,127,0,12,314,5.4,23.2
50,46-49,70-79,798,5,167,1,17,608,12.9,67.1
50,46-49,80+,1422,11,216,4,33,1158,43.3,171.0
51,47-50,Under 18,4,0,3,0,0,1,0.3,0.0
51,47-50,18-29,14,0,9,0,1,4,0.1,0.3
51,47-50,30-39,53,0,43,0,1,9,0.1,1.5
51,47-50,40-49,113,3,60,0,4,46,0.7,3.6
51,47-50,50-59,244,5,116,1,10,112,1.6,11.4
51,47-50,60-69,453,5,141,0,9,298,5.1,25.9
51,47-50,70-79,725,8,169,1,22,525,11.1,68.3
51,47-50,80+,1350,13,241,4,37,1055,39.5,191.9
52,48-51,Under 18,5,0,4,0,0,1,0.2,0.0
52,48-51,18-29,20,0,15,0,0,5,0.1,0.5
52,48-51,30-39,55,0,37,0,3,15,0.2,1.3
52,48-51,40-49,107,2,59,0,4,42,0.7,3.5
52,48-51,50-59,229,3,102,1,11,112,1.6,10.1
52,48-51,60-69,443,5,145,0,16,277,4.8,27.0
52,48-51,70-79,628,9,164,2,27,426,9.0,67.4
52,48-51,80+,1403,7,283,3,39,1071,40.3,228.8
53,49-1,Under 18,8,0,8,0,0,0,0.0,0.1
53,49-1,18-29,23,0,15,0,0,8,0.1,0.5
53,49-1,30-39,64,0,37,0,3,24,0.4,1.3
53,49-1,40-49,115,2,69,0,5,39,0.6,4.2
53,49-1,50-59,263,2,116,1,15,129,1.8,11.6
53,49-1,60-69,499,10,181,0,21,287,4.9,34.0
53,49-1,70-79,715,6,196,2,35,476,10.1,81.3
53,49-1,80+,1487,11,302,4,44,1126,42.4,246.7
